region,orders,cancellations,paid_orders,paid_revenue_clp,cancellation_rate,paid_aov_clp
Metropolitana,288,19,269,28085875.0,0.06597222222222222,104408.45724907063
Valparaíso,50,4,46,5318594.0,0.08,115621.60869565218
Biobío,36,6,30,3016011.0,0.16666666666666666,100533.7
Maule,28,0,28,4864515.0,0.0,173732.67857142858
Los Lagos,22,1,21,1856076.0,0.045454545454545456,88384.57142857143
Antofagasta,19,1,18,3225525.0,0.05263157894736842,179195.83333333334
Coquimbo,18,2,16,1606791.0,0.1111111111111111,100424.4375
Araucanía,15,4,11,1315352.0,0.26666666666666666,119577.45454545454
Atacama,12,0,12,935082.0,0.0,77923.5
O’Higgins,11,0,11,1615522.0,0.0,146865.63636363635
Ñuble,7,1,6,333947.0,0.14285714285714285,55657.833333333336
Los Ríos,6,0,6,932324.0,0.0,155387.33333333334
Región Aysén del General Carlos Ibáñez del Campo,3,1,2,547225.0,0.3333333333333333,273612.5
Tarapacá,3,0,3,304064.0,0.0,101354.66666666667
Magallanes,3,0,3,406722.0,0.0,135574.0
Arica y Parinacota,2,0,2,91027.0,0.0,45513.5
Sin región,1,0,1,94341.0,0.0,94341.0
