shipping_method,orders,cancellations,paid_orders,paid_revenue_clp,cancellation_rate,paid_aov_clp
Prioritario a domicilio,109,2,107,5852150.0,0.01834862385321101,54692.990654205605
Envío Sagás RM,102,7,95,17022545.0,0.06862745098039216,179184.68421052632
Sin método,83,4,79,4001097.0,0.04819277108433735,50646.79746835443
Sagás Music Shop Adress,57,8,49,5563604.0,0.14035087719298245,113542.9387755102
Estándar a domicilio,47,0,47,3174651.0,0.0,67545.76595744681
Chilexpress,31,7,24,3696078.0,0.22580645161290322,154003.25
Envió por pagar (Starken),28,5,23,3991980.0,0.17857142857142858,173564.34782608695
Starken,28,2,26,6370742.0,0.07142857142857142,245028.53846153847
Bluexpress,27,3,24,4160573.0,0.1111111111111111,173357.20833333334
Estándar a sucursal,7,0,7,434423.0,0.0,62060.42857142857
Prioritario a sucursal,3,1,2,226170.0,0.3333333333333333,113085.0
Express a sucursal,1,0,1,29990.0,0.0,29990.0
Prioritario,1,0,1,24990.0,0.0,24990.0
